row,headword,sense_index,pos,etymology,definition,refs,other_refs
549,הִנֹּם,1,masculine,"deriv. & meaning dub.; according to Sim Bö Gf al. = wailing, Arabic هَنَّ [hanna], from cries of children (v. infr.), but this improbable","—only in גֵּי(גֵּיא)בֶן־ה׳, & abbrev. ג׳ ה׳, n.pr.loc. of valley S. of Jerusalem, (𝔊 φάραγγα Ὀνομ [pharanga Onom] (×2) Σονναμ [Sonnam]; Γαιεννα [Gaienna] v; Γαιβενθομ [Gaibenthom], 𝔊L φάρ [phar]. Βενεννομ [Benennom]; γὲ βανὲ Ἑννομ [ge bane Hennom], 𝔊L γῇ Βενεννομ [gē Benennom]; elsewhere usually φάρ [phar]. (υἱοῦ [yiou]) Ἑννομ [Hennom])—cf. sub;—as mere topographical term גֵּי בֶן־הִנֹּם, boundary between Judah & Benjamin; also גֵּי ה׳; (all P) cf.; elsewhere always גּ׳ בֶן־ה׳ ( Kt has גי בני הנם, Qr & 𝔊 𝔙 sing.), & always with ref. to the sacrifice of children by fire; on account of this inhuman & idolatrous practice it was abhorred by priest & prophet, & defiled by Josiah; this conception afterward developed, through, into Jewish Gehinnom (cf. WeberSynagog. Theol. 326 ff. DiBuch Henoch. 131 f.) & NT γέεννα [geenna]. On locality cf. RobBR ii. 273 f. ToblerTopogr. ii 39 ff. BdPal. 103; mod. name (of lower half of valley, toward SE.) Wady er-Rabâbi.",Joshua 15:8; Joshua 18:16; Joshua 18:16; II Chronicles 28:3; II Chronicles 33:6; Joshua 15:8; Joshua 18:16; Joshua 15:8; Joshua 18:16; Nehemiah 11:30; II Kings 23:10; II Kings 23:10; II Chronicles 28:3; II Chronicles 33:6; Jeremiah 7:31; Jeremiah 7:32; Jeremiah 19:2; Jeremiah 19:6; Jeremiah 32:35; Isaiah 66:24,"BDB, גַּיְא"
550,הֵנַע,1,,,"loc. named betw. Sepharvaim and Iwwa; site unknown, yet cf. DlPa 279; =.",II Kings 18:34; II Kings 19:13; Isaiah 37:13,
551,הֹר,1,mountain,,,,
552,הֹרָם,1,masculine,,a Canaanitish king ruling in Gezer.,Joshua 10:33,
553,הָרָן,1,masculine,mountaineer; i.e. mountain-people (or land)? cf. Di,—,Genesis 11:27,
554,הָשֵׁם,1,masculine,,"father of one (or more?) of David’s heroes, but read prob. יָשֵׁן and del. בני; cf. DrSm and v. further sub.",I Chronicles 11:34; II Samuel 23:32,"BDB, יָשֵׁן"
555,הֲתָךְ,1,masculine,,a Persian official at court of Ahasuerus.,Esther 4:5; Esther 4:6; Esther 4:9; Esther 4:10,
556,וְדָן,1,locative (place name),,"appar. n.pr.loc., only in וְדָן וְיָוָן Wedān and Yāwān (cf. VB and reff.) but identif. wholly dub.; = Waddân near Medina according to GlasSkizze ii. 428: 𝔊 om.; text prob. corrupt, cf. Sta Javan. 11. ff. Da al.; Ew Hi read דְּדָן, but דְּדָן is in following v., and anticipation improb., cf. Stal.c.; Co reads (for ודן ויון) וְאַרְנָבָן, on the basis of Bab. & Assyrian Aranabanim, Arnabani, n.pr.loc., following Ḫilbunim (חֶלְבּוֹן) in lists of places whence wine was brought (cf. יֵין חֶלְבּוֹן v, & 𝔊 καὶ οἶνον [kai oinon] for ויון; also COT ).",Ezekiel 27:19; Ezekiel 27:18; Ezekiel 27:18,
557,וָהֵב,1,locative (place name),,"appar. n.pr.loc., אֶת־וָהֵב בְּסוּפָה, obj. of a vb. now lost out of the text (cf. RV & especially Di VB) situation unknown; 𝔊 Ζωοβ, Ζοοβ [Zōob, Zoob]; so LagBN 54 Say Ac. Oct. 22, 1892 (זָהָב).",Numbers 21:14,
558,וַיְזָתָא,1,masculine,"perhaps = Pers. n.pr.m. Vahyazdâta BenfeyPers. Keilinschr. (1847) 18, 93 cf. SpiegAPK 240, who conjectures meaning given-of-the-Best-One (vom Besten gegeben)",—a son of Haman.,Esther 9:9,
559,וַנְיָה,1,masculine,,"one of those with strange wives, (text dubious; 𝔊B οὐιεχωα [ouiechōa], א οὐιερεχω [ouierechō], A Οὐουνια [Ouounia], 𝔊L οὐανια [ouania]).",Ezra 10:36,
560,וָפְסִי,1,masculine,,a man of Naphtali; in נַחְבִּי בֶּן־וָפְסִי (text dubious; 𝔊 Ναβει υἱὸς Ἰαβει [Nabei yios Iabei]).,Numbers 13:14,
561,וַשְׁנִי,1,masculine,,"according to MT appar. n.pr.m. son of Samuel, only הַבְּכֹר וַשְׁנִי וַאֲבִיָּה, but read הַבְּכֹר יוֹאֵל וְהַשֵּׁנִי אביה cf. 𝔊L, and ‖; v. ThSm BeCh DrSm al.",I Chronicles 6:13; I Samuel 8:2,
562,וַשְׁתִּי,1,feminine,"'= Pers. (Zend) vahista, best, cf. JustiHdb. d. Zendsprache, 272",queen of Ahasuerus (Xerxes) king of Persia.,Esther 1:9; Esther 1:11; Esther 1:12; Esther 1:15; Esther 1:16; Esther 1:17; Esther 1:19; Esther 2:1; Esther 2:4; Esther 2:17,
563,זְאֵב²,1,masculine,wolf,"—a prince of Midian, (×3); also in n.pr.loc. יֶקֶב־זְאֵב wine-vat of Zeeb.",Judges 7:25; Judges 8:3; Psalms 83:12; Judges 7:25,
564,זָבָד,1,masculine,"he hath given, or a gift; cf. Sab. n.pr. זבדם Hal 168 DHMZMG 1883, 15, זביד DHMEpigr. Denkm. 50 = زُبَيْد [zubayd]; also NH n.pr. זביד",—,,
565,זַבְדִּי,1,masculine,"cf. Arabic زَبْدٌ [zabdun] gift;? gift of י׳, vid. DrStud. Bib. i. 5 & reff.; perhaps my gift, gift to me: cf.; in NH n.pr. זבדי (זַבְדִּי or זַבְדַּי?) NT Ζεβεδαῖος [Zebedaios], e.g. Mk 1:9, 𝔖 ܙܰܒܕܰܝ [זבדי], Zebedee",—,,"BDB, זַבְדִּיאֵל"
566,זַבְדִּיאֵל,1,masculine,my gift is God,—,,
567,זְבַדְיָהוּ,1,masculine,"י׳ hath bestowed, cf. יְהוֹזָבָד, & reff., also זַבְדִּיאֵל supr.",—זְבַדְיָהוּ,,
568,זֶ֫בַח²,1,masculine,,"a Midianite king, (×2), (×2), (×2), 𝔊 Ζεβεε [Zebee].",Judges 8:5; Judges 8:6; Judges 8:7; Judges 8:10; Judges 8:12; Judges 8:15; Judges 8:18; Judges 8:21; Psalms 83:12,
569,זַבַּי,1,masculine,"Palm. זבי VogNo. 28 (but this perhaps = loricatus, cf. ܙܰܒܳܐ [זבא] lorica);* on Palm. זבי (prob. abbrev. from זבד …), v. Lzb 265 Cooke 273, 291. connex. with above √ uncertain","—Jew in Ezra’s time; 𝔊 Ζαβου [Zabou](θ [th]); cf. also Kt (𝔊 Ζαβου [Zabou] etc., but Qr זַכַּי v. זַכָּ֑י = ).",Ezra 10:28; Nehemiah 3:20; Ezra 2:9; Nehemiah 7:14,
570,זְבִינָא,1,masculine,"bought; Aramaic, from √ זְבַן, buy, cf. Biblical Aramaic",—name of one who had taken a strange wife.,Daniel 2:8; Ezra 10:43,
571,זְבֻל²,1,masculine,,"an officer of Abimelech, (×2).",Judges 9:28; Judges 9:30; Judges 9:36; Judges 9:38; Judges 9:41,
572,זִו,1,,,"appar. n.pr. of 2nd month, = c. April–May, named as month of beginning the temple-building; בְּחֹדֶשׁ זִו הוּא הַחֹדֶשׁ הַשֵּׁנִי = בְּיֶרַח זִ֑ו v; 𝔊B v has simply ἐν μηνὶ τῷ δευτέρῳ [en mēni tō deuterō], v (in 𝔊 v ) ἐν μηνὶ Νεισῷ καὶ τῷ δευτέρῳ μηνί [en mēni Neisō kai tō deuterō mēni]; 𝔊 codd. ἐν μηνὶ Ζιου μηνὶ τῷ δευτέρῳ [en mēni Ziou mēni tō deuterō]; 𝔊L (only v ) ἐν δευτέρῳ μηνί, ἐν μηνὶ Ζιου [en deuterō mēni, en mēni Ziou];—(si vera l. comp. perhaps Aramaic זִיו ܙܝܺܘܳܐ [זיוא] brightness, freshness, so Biblical Aramaic +; cf. 𝔗 יֶרַח זִיו נִיצָנַיָּא month of brightness of flowers; Assyrian zîmu, DlPr 152 f. cf. NöZMG 1886, 732; Thes al. der. זִו, זִיו (= זְהִיו) from זהה in sense be bright, splendid, etc., cf. Arabic زَهَا [zahā] increase, thrive (of seed-produce), زَهْوٌ [zahwun] a beautiful and bright, or fresh, plant; Aramaic זְהָא, adj. זָהוֹהָא haughty, proud; ܙܗܳܐ [זהא] glory, boast, be magnificent; yet cf. Ol§ 174 ad fin.)",I Kings 6:1; I Kings 6:37; I Kings 6:1; I Kings 6:37; I Kings 6:4; I Kings 6:37; Daniel 2:31,
573,זוֹחֵת,1,masculine,,"a descendant of Judah (etym. and meaning unknown) (v. also ), 𝔊 Ζωαν, Ζωαβ [Zōan, Zōab], A Ζωχαθ [Zōchath], 𝔊L Ζαωθ [Zaōth].",I Chronicles 4:20,"BDB, בֶּן־זוֹחֵת"
574,זִיזָא,1,masculine,,—,,
575,זִינָא,1,masculine,,'= זִיזָה v q.v.,I Chronicles 23:10; I Chronicles 23:11,
576,זִיף,1,,,,,
577,זִיף,3,locative (place name),,,,
578,זִיף,9,masculine,,"a son of יְהַלֶּלְאֵל of Judah, whether related to n.pr.loc. supr. does not appear. 𝔊 Ζαφα, Ζιφ [Zapha, Ziph](αι [ai]). ( v. supr.)",I Chronicles 4:16; I Chronicles 2:42,
579,זַכּוּר,1,masculine,,"𝔊 Ζακχυρ, Ζακχουρ [Zakchyr, Zakchour], etc.:—",,
580,זַכַּי,1,masculine,,"head of a family of returned exiles, זַכָּ֔י (𝔊 Ζακχου [Zakchou], 𝔊L Ζακχαιου [Zakchaiou]) = (𝔊 Ζαθου [Zathou], A Ζακχουρ [Zakchour], 𝔊L Ζακχαιου [Zakchaiou]); perhaps = זַכַּי q.v.; 𝔊 Ζαβ [Zab](ρ [r])ου [ou], 𝔊L Ραββαι [Rabbai]. Nes (privately) suggests that this might be abbrev. from זכריה.",Ezra 2:9; Nehemiah 7:14; Nehemiah 3:20,
581,זִכְרִי,1,masculine,,"𝔊 Ζεχρει, Ζαχρι [Zechrei, Zachri], etc., except as below:—",,
582,זְכַרְיָהוּ,1,masculine,,"oftener זְכַרְיָה n.pr.m. (Sab. ידֿכראל DHMEpigr. Denkm. 43) 𝔊 Ζαχαρια [Zacharia](ς [s]), etc.:—",,
583,זִלְפָּה,1,feminine,,"Leah’s maid, one of Jacob’s wives, mother of Gad and Asher, (all J); (all P).",Genesis 29:24; Genesis 30:9; Genesis 30:10; Genesis 30:12; Genesis 35:26; Genesis 37:2; Genesis 46:18,
584,זִמָּה²,1,masculine,,of several Levites (Gershonites)—,,
585,זַמְזֻמִּים,1,gentilic (people group),,"said to be a name given to רְפָאִים by the Ammonites who dispossessed them (cf. Arabic زَمْزَمَ [zamzama] talk gibberish?), 𝔊 Ζοχομμιν, Ζομζομμειν [Zochommin, Zomzommein], and Ζομμειν [Zommein] (so 𝔊L); cf. זוּזִים q.v. (𝔊 ἔθνη ἰσχυρά [ethnē ischyra]).",Deuteronomy 2:20; Genesis 14:5,
586,זְמִירָה,1,masculine,,"a Benjamite, 𝔊 Ἀμαριας [Amarias]; 𝔊A, 𝔊L Ζαμαρια [Zamaria](ς [s]).",I Chronicles 7:8,
587,זִמְרִי,1,masculine,,𝔊 Ζαμβρ [Zambr](ε [e])ι [i]—,,
588,זִמְרִי²,1,gentilic (people group),,"vel patr., only מַלְכֵי ז׳ (+ מלכי עֵילָם and מלכי מָדָ֑י); = Σεμβρῖται [Sembritai] in Ethiopia (Straboxvii, i. 786)? cf. Gf; om. 𝔊; interpol. according to Kue Gie.",Jeremiah 25:25,
589,זִמְרָן,1,masculine,,"son of Abraham & Keturah, 𝔊 Ζε [Ze](μ [m])βραν [bran] and (𝔊L here Ζεμραμ [Zemram]). On locality referred to v. Di.",Genesis 25:2; I Chronicles 1:32,
590,זָנוֹחַ,1,locative (place name),,,,
591,זְרֻבָּבֶ֫ל,1,masculine,"according to MV perhaps = זְרוּעַ בָּבֶל begotten in Babylon, v. also Thes prob. = Bab. Zêr-Bâbili = off-spring of Babylon, often in Inscr. (MeyE. Jud. v);","—grandson of king Jehoiachin, and son of Pedaiah (×2) (but son of Shealtiel, etc., cf. brother(?) of פְּדָיָה ); leader of first returning exiles =; called פַּחַת יְהוּדָה, called עַבְדִּי (by י׳).—𝔊 Ζοροβαβελ [Zorobabel].",I Chronicles 3:19; Ezra 3:2; Ezra 3:8; I Chronicles 3:17; Ezra 2:2; Nehemiah 7:7; Ezra 3:2; Ezra 3:8; Ezra 4:2; Ezra 4:3; Nehemiah 12:1; Nehemiah 12:47; Haggai 1:12; Haggai 2:4; Zechariah 4:6; Zechariah 4:7; Zechariah 4:9; Zechariah 4:10; Haggai 1:1; Haggai 1:14; Haggai 2:2; Haggai 2:21; Haggai 2:23,"BDB, שְׁאַלְתִּיאֵל"
592,זֶ֫רֶד,1,river,√ dub.; on form cf. LgBN77,"—נַחַל זֶ֫רֶד; נַחַל זָ֑רֶד (JE); identification disputed; RobBR ii. 157 proposes Wadyel-Aḥsy (= נַחַל הָעֲרָבִים ), between Moab & Edom; Sail Saʿîde (Kn), chief source of Arnon from SE. (Burckh Syrien, 635), or W. Kerak (Ges Ke Di); so also GASmGeog.557.",Deuteronomy 2:13; Numbers 21:12; Deuteronomy 2:13; Deuteronomy 2:14; Isaiah 15:7,
593,זֶ֫רַח²,1,masculine,"on form cf. LgBN77, and Anm.",—,,
594,זְרַחְיָה,1,masculine,"י׳ hath risen, or shined; Sab. דֿרחאל Hal49",—𝔊 Ζαραια [Zaraia]:—,,
595,זֶ֫רֶשׁ,1,feminine,,"wife of Haman; (×2) (according to Opp Esth. 25 = Pers. zaris, Zend zairis, la dorée, cf. زررِشتَه [zrrishtah] aurum ductile, Vull ii. 128 b; JenVOJ, 1892, 64 comp. Elamit. goddess Kiriša).",Esther 5:10; Esther 5:14; Esther 6:13,
596,זַתּוּא,1,masculine,,head of a family of returned exiles =; cf. also.,Ezra 2:8; Nehemiah 7:13; Ezra 10:27; Nehemiah 10:15,
597,זֵתָם,1,masculine,"sub זית in Thes, = foregoing","—a Levite (Gershonite), appar. son of לַעְדָּן and brother of יְחִיאֵל and יוֹאֵל; appar. grandson of לַעְדָּן, and son of יְחִיאֵלִי (expressly called brother of יוֹאֵל); 𝔊 Ζεθομ, Ζοθομ [Zethom, Zothom], 𝔊L Ζηθαν [Zēthan].",I Chronicles 23:8; I Chronicles 26:22,
598,זֵתָם²,1,masculine,,a Levite.,I Chronicles 23:8; I Chronicles 26:22,
599,זֵתַר,1,masculine,,"an eunuch of Ahasuerus (Opp Esth. 25 comp. Pers. zaitar, conqueror).",Esther 1:10,
600,חֹבָב,1,masculine,"cf. Ph. n.pr. חב; WeSkizzen iii, 171. 217 suggests compar. with حُباب [ḥubāb] serpent","—son of Reuel, חֹתֵן of Moses (v. ), (JE); ins. ח׳ prob. also, v. GFM.",Numbers 10:29; Judges 4:11; Judges 1:16,"BDB, חתן"
601,חֻבָּה,1,masculine,,"a descendant of Asher, (read וְחֻבָּה, so Qr; > Kt יְחֻבָּה).",I Chronicles 7:34,
602,חֲבַצִּנְיָה,1,masculine,,"a Rechabite, 𝔊 Χαβασ [Chabas](ε [e])ιν [in].",Jeremiah 35:3,
603,חֲבַקּוּק,1,masculine,,"the prophet Habakkuk; 𝔊 Ἀμβακουμ [Ambakoum] (Assyrian ḫambaḳûḳu is name of a plant, DlHA 36, Pr 84, so حبقبق [ḥbqbq] in Yemen (Schweinfurth) v. HomAufsätze u. Abh. 1892, 27, 28).",Habakkuk 1:1; Habakkuk 3:1,
604,חֶ֫בֶר²,1,masculine,,,,
605,חֶבְרוֹן,1,locative (place name),,"Hebron (association, league)—ח׳ +; c. ה loc. חֶבְרוֹנָה + 6 times; חֶבְרֹ֫נָה;—𝔊 Χεβρων [Chebrōn]; mod. El-Ḫalîl (v. RobBR i. 213 f., ii. 73 ff. GuérinJudée iii. 214 ff.); ancient city in southern Judah, where (or near which) Abr. built an altar (J), and where was a sanctuary in Dvd.’s time, cf. לפני י׳ בְּח׳ =; built 7 yrs. bef. Ṣoan in Egypt according to b (JE); under a king, (JE) (D); assigned to Caleb, (JED) yet v. (cf. v ); older name קִרְיַת (הָ)אַרְבַּע according to (JED), cf.; (all P) b; v. also; (both P); called also מַמְרֵא (and, both P); a city of refuge (P) =; עֵמֶק ח׳ (J); named elsewhere a (JE); (all D) a; a resort of David, and for 7 yrs. his royal city, (×2), (van d. H. v, ); read also perhaps for תחתו, 𝔊L εἰς Χεβρων [eis Chebrōn], cf. Dr; seat of Absalom’s rebellion; עָרֵי ח׳ abode of David’s men.",Genesis 13:18; Joshua 10:36; II Samuel 2:1; Genesis 13:18; II Samuel 15:7; II Samuel 5:3; I Chronicles 11:3; Numbers 13:22; Joshua 10:3; Joshua 10:5; Joshua 10:23; Joshua 12:10; Joshua 14:13; Joshua 14:14; Judges 1:20; I Chronicles 6:40; I Chronicles 6:41; Joshua 14:15; Genesis 23:2; Genesis 35:27; Joshua 15:54; Joshua 20:7; Judges 1:10; Joshua 15:13; Joshua 21:11; Genesis 23:19; Genesis 35:27; Joshua 21:13; I Chronicles 6:42; Genesis 37:14; Numbers 13:22; Joshua 10:36; Joshua 10:39; Joshua 11:21; Judges 1:10; Judges 16:3; II Samuel 2:32; II Samuel 15:9; II Chronicles 11:10; I Samuel 30:31; II Samuel 2:1; II Samuel 2:11; II Samuel 3:2; II Samuel 3:5; II Samuel 3:19; II Samuel 3:20; II Samuel 3:22; II Samuel 3:27; II Samuel 3:32; II Samuel 4:1; II Samuel 4:8; II Samuel 4:12; II Samuel 5:1; II Samuel 5:3; II Samuel 5:13; I Kings 2:11; I Chronicles 3:1; I Chronicles 3:4; I Chronicles 11:1; I Chronicles 11:3; I Chronicles 12:24; I Chronicles 12:39; I Chronicles 12:23; I Chronicles 12:38; I Chronicles 29:27; II Samuel 3:12; II Samuel 15:10; II Samuel 2:3,
606,חֶבְרוֹן²,1,masculine,𝔊 Χεβρων [Chebrōn],,,
607,חָגָב²,1,masculine,,"head of a family of returning exiles 𝔊 Ἁγαβ [Hagab] (no ‖ in H; but 𝔊L has both Αγαβ [Agab] and Αγαβα [Agaba], cf. ).",Ezra 2:46; Nehemiah 7; Nehemiah 7:47,"BDB, חֲגָבָא"
608,חֲגָבָא,1,masculine,,"head of a family of returnng exiles, 𝔊 Ἁγαβα [Hagaba] (cf. also foregoing) prob. = following.",Nehemiah 7:47,
609,חֲגָבָה,1,masculine,,"head of a family of returning exiles, prob. = foregoing; 𝔊 Ἁγαβα [Hagaba].",Ezra 2:45,
610,חַגַּי,1,masculine,"festal; Ph. חגי, חגת; Palm. חגגו VogNo. 61",—the prophet Haggai; 𝔊 Ἀγγαῖος [Angaios].,Haggai 1:1; Haggai 1:3; Haggai 1:12; Haggai 1:13; Haggai 2:1; Haggai 2:10; Haggai 2:13; Haggai 2:14; Haggai 2:20; Ezra 5:1; Ezra 6:14,
611,חַגִּית,1,feminine,festal,wife of David and mother of Adonijah; 𝔊 Ἀγγιθ [Angith].,II Samuel 3:4; I Kings 1:5; I Kings 1:11; I Kings 2:13; I Chronicles 3:2,
612,חָגְלָה,1,feminine,"'= partridge, v. supr.","—a daughter of Ṣelophchad of Manasseh; (all P); 𝔊 Ἑγλα [Hegla], A Αιγλα [Aigla](μ [m]). On n.pr.loc. בֵּית ח׳ v. p. 111 b.",Numbers 26:33; Numbers 27:1; Numbers 36:11; Joshua 17:3,
613,חֲדַד,1,masculine,"on this and foll. cf. Palm. n.pr. חדודן VogNo. 96, Sab. חדד Hal27","—a son of Ishmael (cf. Baer’s n.; van d. H. חֲדַר) 𝔊 Χοδδαν [Choddan], 𝔊L Χοδδαδ [Choddad]; = 𝔊 Χονδαν [Chondan], A Χοδδαδ [Choddad], 𝔊L Αδαδ [Adad].",Genesis 25:15; I Chronicles 1:30,
614,חָדִיד,1,locative (place name),,"in Benj., mentioned with לֹד and אוֹנוֹ =; with these and other places; prob. = Ἀδιδά, Ἀδίδοις [Adida, Adidois]; mod. El-Ḥadite c. 3 1/4 miles N. of E. from Lydda, GuérinJudée i. 320 (cf. RobBR iii. 143).",Ezra 2:33; Nehemiah 7:36; Nehemiah 11:34,The Book of Maccabees I (Kahana Translation) 12:38; The Book of Maccabees I (Kahana Translation) 13:13
615,חַדְלָ֑י,1,masculine,,"an Ephraimite, 𝔊 Χοαδ [Choad], A Αδδι [Addi], 𝔊L Αδλι [Adli].",II Chronicles 28:12,
616,חִדֶּ֫קֶל,1,river,,"Tigris (Sum. Idigna, Assyrian Idiḳlat, Diḳlat, O.-Pers. Tigrâ SpiegAPK, Gloss., etc.), the famous Assyrian river; v. especially DlPa 110 f. 170 ff.; ח׳; חִדָּ֑קֶל.",Genesis 2:14; Daniel 10:4,
617,חַדְרָ֔ךְ,1,territorial (land/region),,"only אֶרֶץ ח׳ (‖ דַּמֶּשֶׂק); perch. = Assyrian Ḫatarakka, Ḫatari(k)ka, a district near Damascus and Hamath; v. SchrCOT ad loc., DlPa 279.",Zechariah 9:1,
618,חֹ֫דֶשׁ²,1,feminine,,"a wife of Shaharaim of Benj., 𝔊 Ἁδα [Hada], 𝔊L Βαδαα [Badaa] (so v = בַּעֲרָה).",I Chronicles 8:9; I Chronicles 8:8,
619,חָדְשִׁי,1,locative (place name),,"in n.pr.loc. אֶרֶץ תַּחְתִּים ח׳, read א׳ הַחִתִּים קֵדְשָׁה v. HiGesch. Isr. i. 29, 𝔊L εἰς γῆν Χεττιειμ Καδης [eis gēn Chettieim Kadēs]; cf. Drad loc. and (in part) Klo; v. also.",II Samuel 24:6,"BDB, קֶ֫דֶשׁ"
620,חוֹבָה,1,locative (place name),,"north of Damascus; mod. Ḫoba, 20 hours N. of Dam., according to Wetzst Del Gn. ed. 4, 561 ff. so Di.",Genesis 14:15,
621,חַוָּה,1,feminine,"life, vid. Di; > WeProl. 1886, 322; Skizzen iii. 217 after Nö who suggests serpent as poss. meaning, cf. Arabic حَيَّةٌ [ḥayyahun]; but RSK 177 ‘mother of every ḥayy,’ v. ii. sub","— and the man called his wife חַוָּ֑ה, because she was אֵם כָּל־חָֽי׃; cf. ח׳ אִשְׁתּוֹ (both J).—ii. חַוָּה village, v. infr. sub ii..",Genesis 3:20; Genesis 3:20; Genesis 4:1,"BDB, חַי³; BDB, חָיָה; BDB, חוה²"
622,חֲוִילָה,1,territorial (land/region),"√ dub. DlPa 12 suggests חוֹל sand-land, dunes, as Heb. popular etym., MV11 give it as actual etym.; StaThLZ Apr. 28, 1894, 235 compares this, as well as חוֹל sand, with Arabic وَحَلٌ [waḥalun] soft mud, [damp sand]","—אֶרֶץ הַחֲוִילָה (surrounded or bordered—סבב—by river Pishon; noted for excellent gold, bdellium and shoham-stone); elsewhere without art. חֲוִילָה = as a ‘son’ of Cush (between סְבָא and סַבְתָּה); but also as a ‘son’ of יָקְטָן, a descendant of Shem = (between אוֹפִיר and יוֹבָב); מֵח׳ עַד־שׁוּר said of limits of Ishmaelitish territory; cf. same limits of Amalek (but dub.; We reads טֵילָם, cf. v and vid. Dr; GlaserSkizze ii, 326 reads חֲכִילָה as, ).—Most have supposed several regions named ח׳ to be indicated in these passages:—e.g. Thes 1. Arabian shore of Pers. Gulf etc. 2. Ethiopian coast etc. 3. India (regarded as indef. extension of 1). Di distinguishes 1 and 2 either as quite distinct, or as different settlements of one great people, and (on ) thinks that כל ארץ ח׳ implies vague extension eastward. DlPa 12 ff. 57 ff. identif. ח׳ in all passages with NE. part of Syrian desert, so E. MeyerGesch. Alterth. i. 224; GlaserSkizze ii. 323 ff. with central and NE. Arabia. The question is still undecided.",Genesis 2:11; Genesis 10:7; I Chronicles 1:9; Genesis 10:29; I Chronicles 1:23; Genesis 25:18; I Samuel 15:7; I Samuel 15:4; I Samuel 23:19; I Samuel 26:1; I Samuel 26:3; Genesis 10:29; Genesis 10:7; Genesis 2:11; Genesis 10:7; Genesis 2:14; Genesis 2:11,
623,חוּל²,1,masculine,,"a ‘son’ of Aramaic =, named between עוּץ and גֶּתֶר 𝔊 Ουλ [Oul].",Genesis 10:23; I Chronicles 1:17,
624,חוּקֹק,1,locative (place name),,"city in Asher 𝔊 Ικακ [Ikak], 𝔊L Ακωκ [Akōk]; but read prob. חֶלְקַת (as ) q.v.—חֻקֹ֑קָה v. sub.",I Chronicles 6:60; Joshua 19:25; Joshua 19:34,"BDB, חָקַק"
625,חוּקֹק²,1,locative (place name),,"only, prob. error for חֶלְקַת (q.v.).",I Chronicles 6:60; Joshua 19:25; Joshua 21:31,
626,חוּר²,1,masculine,meaning dub.; cf. Nab. n.pr. חורו Nö in Eutp. 45,—,,
627,חוּרִי,1,masculine,,a Gileadite (of Gad) (𝔊 Ουρ [Our](ε [e])ι [i]).,I Chronicles 5:14,
628,חוּרַי,1,masculine,,"a hero of David ח׳ מִנַּחֲלֵי גָ֔עַשׁ 𝔊 Ουρ [Our](ε [e])ι [i], 𝔊L Ουρια [Ouria]; = הִדָּי (om. B; A Αθθαι [Aththai], 𝔊L Αδδαι [Addai]).",I Chronicles 11:32; II Samuel 23:30,
629,חַוְרָן,1,territorial (land/region),"meaning unknown; conjectures are:—black-land (as basaltic region), supported by حَوْر [ḥawr] black, dial. of Yemen, Maltzan ZMG 1874, 230, and tokens of immigration from Yemen into Ḥaurân, Wetzst in De Job 2, 598; ZKW 1884, 120; land of caves, Thes Hi-Sm, Porter Dict. Bib., and hollow, GASmGeogr. 552, who comp. Heb. חור hole; but this prob. from iii. חרר, and Arabic خَوْر [khawr], hollow, diff. from حَوْرَان [ḥawrān]","—district SE. from Mt. Hermon, extending between Jaulan and Lejah, toward Syriac desert; only גְּבוּל חַוְרָ֑ן cf. v; = Assyrian Ḫaurani DlPa 294; 𝔊 Αυρανιτις [Auranitis], and so JosAnt. xv. 10, 1 etc., Arabic حَوْرَان [ḥawrān]. On this district v. Wetzst Hauran, (1860) and in De Job 2, 597 ff. BdPal 195 ff. SchumacherAcross the Jordan, 1889; ZPV xii. 1889, 225 ff. (with map) GASmGeogr. 552 f. 609 ff.",Ezekiel 47:16; Ezekiel 47:18,"BDB, חַוְרָן"
630,חוּשָׁה,1,masculine,,a ‘son’ of חוּר = place in Judah.,I Chronicles 4:4,
631,חוּשַׁי,1,masculine,,,,
632,חוּשִׁים,1,feminine,,"wife of Shaharaim of Benjamin, חוּשִׁים, חֻשִׁים v.",I Chronicles 8:8; I Chronicles 8:11,
633,חוֹתָם²,1,masculine,,,,
