rank,name,normalized_name,count,example_1,example_2,example_3
1008,"Rebbi Abba, the son of Rebbi Ḥaggai","R' Abba, the son of R' Ḥaggai",1,Berakhot 6:5.5,,
1009,Isaac bar Abba from Meḥasiah,Yitzḥak bar Abba from Meḥasiah,1,Berakhot 6:6.6,,
1010,Rebbi Thaddeus,R' Thaddeus,1,Berakhot 6:8.2,,
1011,Rebbi Isaac ben Elyashib,R' Yitzḥak ben Elyashib,1,Berakhot 7:1.4,,
1012,Rav Ḥanan,Rav Ḥanan,1,Berakhot 7:1.5,,
1013,Aninia bar Sisai,Aninia bar Sisai,1,Berakhot 7:2.5,,
1014,Rav Samuel bar Shilat,Rav Shmuel bar Shilat,1,Berakhot 7:2.6,,
1015,Rebbi Jose the Galilean,R' Jose the Galilean,1,Berakhot 7:3.5,,
1016,Rav Hiyya bar Ashi,Rav Hiyya bar Ashi,1,Berakhot 7:3.8,,
1017,Rebbi Yosi,R' Yosi,1,Berakhot 7:5.9,,
1018,Rebbi Eleazar bar Joseph,R' Elazar bar Yosef,1,Berakhot 7:5.9,,
1019,Rebbi Vivan,R' Vivan,1,Berakhot 8:2.4,,
1020,ben Simon,ben Shimon,1,Berakhot 8:5.6,,
1021,Bar Nazira,Bar Nazira,1,Berakhot 8:5.8,,
1022,Rebbi Yoḥanan from Karẓion,R' Yoḥanan from Kartzion,1,Berakhot 8:6.4,,
1023,"Rebbi Zeïra, the son of Rebbi Abbahu","R' Ze'ira, the son of R' Abbahu",1,Berakhot 8:6.9,,
1024,"Rebbi Yehudah, the son of Rebbi Simon","R' Yehudah, the son of R' Shimon",1,Berakhot 8:6.9,,
1025,Rebbi Oshaia,R' Oshaia,1,Berakhot 8:6.12,,
1026,Rebbi Yehudah bar Simon,R' Yehudah bar Shimon,1,Berakhot 9:1.13,,
1027,Rebbi Eviathar,R' Eviathar,1,Berakhot 9:1.14,,
1028,"Rebbi Zeīra, son of Rebbi Abbahu","R' Ze'ira, son of R' Abbahu",1,Berakhot 9:1.22,,
1029,"Rebbi Yose, son of Rebbi Abun","R' Yose, son of R' Abun",1,Berakhot 9:1.29,,
1030,ben Zoma,ben Zoma,1,Berakhot 9:1.33,,
1031,Rebbi Yudan ben Shalom,R' Yudan ben Shalom,1,Berakhot 9:2.10,,
1032,ben Mosheh,ben Mosheh,1,Berakhot 9:2.12,,
1033,ben Manasseh,ben Manasseh,1,Berakhot 9:2.12,,
1034,Rebbi Yose bar Nahorai,R' Yose bar Nahorai,1,Berakhot 9:2.15,,
1035,Rebbi Lewi,R' Lewi,1,Berakhot 9:2.19,,
1036,Rebbi Yannai ben Ismael,R' Yannai ben Yishmael,1,Berakhot 9:2.20,,
1037,Rav Yehudah bar Ezechiel,Rav Yehudah bar Ezechiel,1,Berakhot 9:2.21,,
1038,R. Yudan,R' Yudan,1,Berakhot 9:2.21,,
1039,Rebbi Ismael ben Eleazar,R' Yishmael ben Elazar,1,Berakhot 9:2.24,,
1040,father of Rebbi Abba,father of R' Abba,1,Berakhot 9:3.2,,
1041,Yose ben Nehorai,Yose ben Nehorai,1,Berakhot 9:3.7,,
1042,Rebbi Tanḥuma ben Yehudah,R' Tanḥuma ben Yehudah,1,Berakhot 9:5.4,,
1043,Rebbi Yudan bar Pelaya,R' Yudan bar Pelaya,1,Berakhot 9:5.5,,
1044,Simeon ben Azai,Shimon ben Azai,1,Berakhot 9:5.12,,
1045,Rebbi Yose ben Yehudah,R' Yose ben Yehudah,1,Berakhot 9:5.13,,
1046,Rebbi Chelbo,R' Chelbo,1,Berakhot 9:5.16,,
1047,Rebbi Abba bar Ilaï,R' Abba bar Illai,1,Berakhot 9:5.16,,
